clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	250232	0	29387	5818	0	2610	0	0	8988	0	0	0	0	35195	39408	0	3497	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	75098	27664	102561	118485	87468	83412	337851	77967	89417	80183	118342	41	178620	418133	67551	84378	135014	14978	182500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	95509	0	2545	53353	0	0	20082	5511	4664	0	80766	1386	2063	50057	503988	6518	0	0	81202
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	58666	0	78486	27995	3029	7349	89050	426921	0	0	25803	18196	1074	0	0	0	0	0	71248
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	52577	40367	7585	36232	32799	13229	28137	97451	14394	12642	22013	0	18750	49421	4614	116989	46654	44266	26768
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrio0ceae	45779	0	77226	81991	4277	12102	3389	6222	23625	1690	28914	15160	8625	5941	96421	5944	1952	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	22162	10000	7034	15586	0	48062	278	246	710	2205	15561	24911	12188	7326	92733	57359	0	3280	6981
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	51089	136447	275755	60703	35189	37601	87174	60598	74654	36326	143308	329283	102290	94710	40768	25003	19742	23279	53200
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	16556	4161	2547	23937	0	2425	12886	393	1956	662	19048	11539	0	14542	25125	20596	0	0	1683
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	25555	36303	215490	9654	28352	8950	5241	2098	53186	15632	28460	5655	143243	115953	0	15629	0	62178	2751
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	14633	130039	36756	72207	21206	19024	106891	26699	113238	22461	114271	455097	69149	12810	122099	4196	14102	115923	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	10611	5152	4656	13001	6014	1801	3770	2030	3160	1104	2700	10708	406	1505	4317	9705	909	654	7236
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	4487	0	0	1079	0	977	344	0	0	0	0	0	314	1568	373	266	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	5951	13977	779	66076	24617	31600	138576	293	31603	10141	1977	16940	215181	51500	3354	9159	0	24987	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	10271	489466	490876	225082	195234	78699	92728	133981	117465	142139	477749	287369	581759	81851	29381	7835	31316	84342	1059171
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	4782	0	7668	1316	721	108	741	4412	15521	5032	30857	0	713	4545	0	8048	2142	10870	1412
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomo0dales|f__Selenomo0daceae	2823	0	0	0	3567	1533	0	0	0	0	57659	18614	0	25821	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2683	1757662	1312038	671795	326133	7286	918022	37943	508119	13537	969373	136476	1016091	900749	307165	27109	211728	127655	129776
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	1412	111	0	0	0	691	653	835	1530	1036	1130	530	105	2206	1207	1664	1111	2225	463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	1060	0	5014	10739	15143	0	1246	0	113	0	10528	0	3094	9470	4575	29003	2045	0	5960
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	681	0	0	0	0	0	0	0	0	144	0	158	80	157	390	573	0	386	1218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	443	1254	0	0	197	496	457	818	213	82	2305	1353	1779	2054	2073	3542	952	1081	2299
